Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6000.000000,6110.000000,5660.000000,6110.000000,4623.466309,74195000
2000-01-05,5800.000000,6060.000000,5520.000000,5580.000000,4222.414063,74680000
2000-01-06,5750.000000,5780.000000,5580.000000,5620.000000,4252.681152,54390000
2000-01-07,5560.000000,5670.000000,5360.000000,5540.000000,4192.144043,40305000
2000-01-10,5600.000000,5770.000000,5580.000000,5770.000000,4366.188477,46880000
2000-01-11,5820.000000,6100.000000,5770.000000,5770.000000,4366.188477,59745000
2000-01-12,5610.000000,5740.000000,5600.000000,5720.000000,4328.353027,29220000
2000-01-13,5600.000000,5740.000000,5560.000000,5710.000000,4320.783203,41190000
2000-01-14,5720.000000,5880.000000,5680.000000,5830.000000,4411.589844,49375000
2000-01-17,6000.000000,6180.000000,5920.000000,6100.000000,4615.899414,63505000
2000-01-18,6160.000000,6160.000000,5980.000000,6100.000000,4615.899414,45260000
2000-01-19,6000.000000,6040.000000,5960.000000,5960.000000,4509.961914,40205000
2000-01-20,5860.000000,6040.000000,5820.000000,6040.000000,4570.499023,37315000
2000-01-21,5950.000000,5980.000000,5880.000000,5880.000000,4449.424805,32535000
2000-01-24,5800.000000,5900.000000,5700.000000,5700.000000,4313.218262,34355000
2000-01-25,5520.000000,5640.000000,5440.000000,5440.000000,4116.475586,44250000
2000-01-26,5500.000000,5520.000000,5410.000000,5480.000000,4146.744141,29285000
2000-01-27,5480.000000,5620.000000,5430.000000,5520.000000,4177.010742,27900000
2000-01-28,5640.000000,5880.000000,5540.000000,5820.000000,4404.023438,38315000
2000-01-31,5640.000000,5730.000000,5560.000000,5580.000000,4222.414063,39630000
2000-02-01,5600.000000,5680.000000,5260.000000,5320.000000,4025.670166,71470000
2000-02-02,5220.000000,5370.000000,5110.000000,5250.000000,3972.702393,64105000
2000-02-03,5250.000000,5460.000000,4970.000000,5130.000000,3881.896240,142765000
2000-02-04,5130.000000,5130.000000,5130.000000,5130.000000,3881.896240,0
2000-02-07,5140.000000,5330.000000,5040.000000,5240.000000,3965.134766,64140000
2000-02-08,5340.000000,5480.000000,5310.000000,5430.000000,4108.907227,58460000
2000-02-09,5560.000000,5720.000000,5480.000000,5720.000000,4328.353027,51050000
2000-02-10,5660.000000,5880.000000,5600.000000,5760.000000,4358.621094,61845000
2000-02-11,5960.000000,5960.000000,5680.000000,5700.000000,4313.218262,34660000
2000-02-14,5600.000000,5660.000000,5340.000000,5380.000000,4071.072510,44140000
2000-02-15,5380.000000,5420.000000,5140.000000,5200.000000,3934.866455,38315000
2000-02-16,5180.000000,5200.000000,4780.000000,5000.000000,3783.524658,73115000
2000-02-17,4940.000000,5100.000000,4910.000000,5080.000000,3844.061523,65185000
2000-02-18,5370.000000,5630.000000,5160.000000,5300.000000,4010.535645,108750000
2000-02-21,5200.000000,5260.000000,5030.000000,5070.000000,3836.494141,26485000
2000-02-22,5000.000000,5240.000000,5000.000000,5120.000000,3874.329590,24180000
2000-02-23,5220.000000,5260.000000,5100.000000,5140.000000,3889.464355,27720000
2000-02-24,5120.000000,5240.000000,5060.000000,5070.000000,3836.494141,26075000
2000-02-25,5080.000000,5150.000000,4980.000000,5120.000000,3874.329590,27875000
2000-02-28,5000.000000,5050.000000,4800.000000,4800.000000,3632.181396,30140000
2000-02-29,4900.000000,5140.000000,4840.000000,5120.000000,3874.329590,51820000
2000-03-01,5120.000000,5120.000000,5120.000000,5120.000000,3874.329590,0
2000-03-02,5880.000000,5880.000000,5520.000000,5880.000000,4449.424805,117750000
2000-03-03,6200.000000,6250.000000,5880.000000,6000.000000,4540.229492,140990000
2000-03-06,6000.000000,6050.000000,5600.000000,5640.000000,4267.815430,39150000
2000-03-07,5600.000000,5640.000000,5480.000000,5620.000000,4252.681152,30070000
